title,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Sales Executive (Golf & Resort ) /เจ้าหน้าที่บริหารงานขาย ธุรกิจสนามกอล์ฟและรีสอร์ท,PM Group Company Limited,Klongtoey,Degree,2 years,"Full Time, Permanent",Catering,Tele-sales (Telemarketing),22500
Business Development & Marketing Manager/ผู้จัดการแผนกพัฒนาธุรกิจและการตลาด,ADGES Consulting,Wattana,Degree,3 years,"Full Time, Permanent",Management Consultancy,Business Development,40000
Sales Representative ( Event Channel ),"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Marketing Services,Public Relations,25000
Programmer,"Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Jewellery,Support,22500
Shop Manager/ผู้จัดการร้านสาขาดอยคำ,"Doi Kham Food Products Co., Ltd.",Rajthevee,Degree,2 years,"Full Time, Permanent",Catering,Sales Management,22500
Safety Manager (FMCG),"J.S.Technical Services Co., Ltd.",Others,Degree,10 years,Permanent,Paper,Top Executives (CEO,125000
เจ้าหน้าที่จัดซื้อ  (Purchase)       ยินดีรับนักศึกษาจบใหม่!!!!,"Cool Innotech Co., Ltd.",Pravet,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Mixed Industry Group,Others,11500
Maintenance supervisor (Wangnoi Factory),Tipco Foods Public Company Limited,Ayutthaya,Degree,N/A,Full Time,Catering,Engineering,30000
QA & Tester (ประจำโรงงานพระประแดง),"Chan Wanich Co., Ltd.",Phrapradaeng,Degree,1 year,"Full Time, Permanent",Information Technology,QA,23000
IT Officer/ เจ้าหน้าที่ไอทีคลินิก,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Wholesale,Others,14500
Shop Manager/ผู้จัดการร้าน สาขาสยามสแควร์วัน,บริษัท ฮาโกะ สโตร์ จำกัด,Pathumwan,(N/A),2 years,"Full Time, Permanent",Trading and Distribution,Sales,27500
Senior Partnership Manager,Page Group Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Publishing,Strategic Planning,105000
Sales Representative ( Event Channel ),"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Marketing Services,Marketing General,25000
HR Officer (Bangna,Manarco Recruitment Limited,Bangna,Degree,3 years,"Full Time, Permanent",Manufacturing,Personal Assistant,30000
Call Center Team leader (45k,Adecco Engineering & IT,Huaykwang,Degree,3 years,Full Time,Human Resources Management,Call Centre,50000
Senior Buyer,"Aydia Creation 2015 Co., Ltd.",Prakanong,Degree,5 years,"Full Time, Permanent",Retail,Sourcing,50000
Lead / Senior Structural Engineer,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,10 years,"Full Time, Permanent",Quantity Survey,Civil,72500
Import,JAC Recruitment Thailand,Bangkhen,Degree,1 year,"Full Time, Permanent",Electrical Equipment,Clerical Support,25000
Secretary/ Administration (5+ yrs in Secretary/ Personal Assistant/ Excellent command in English),"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,2 years,"Full Time, Permanent",Plastic,Clerical Support,37500
Biddable Media Executive (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Not Specified,Not Specified,"Full Time, Permanent",Freight Forwarding,Public Relations,30000
Backend Developer,Waylar Tech,Pathumwan,(N/A),N/A,Full Time,Telecommunication,Information Technology (IT),37500
Senior Full,Cathcart Associates Asia Recruitment Ltd.,Bangkok,(N/A),N/A,Full Time,Information Technology,Information Technology (IT),82500
Public Relation Officer/เจ้าหน้าที่สัมพันธ์,German-Southeast Asian Center of Excellence for Public Policy and Good Governance (CPG),Bangkok,Degree,Not Specified,Full Time,Charity,Design,20500
Planning Supervisor (Chemical Engineer)/หัวหน้าแผนกวางแผนการผลิต,JAC Recruitment Eastern Seaboard,Rayong,Degree,3 years,"Full Time, Permanent",Chemical,Purchasing,42500
Asset Controller (Wattana),Kelly Services,Wattana,Degree,1 year,"Full Time, Permanent",Medical,Sales Management,22500
Factory Management Control Team Leader,"Hyrope (Thailand) Co., Ltd.",Chonburi,Degree,N/A,Full Time,Retail,Others,32500
Programmer / Senior Programmer (JAVA or C#.Net),"iCONEXT CO., LTD./บริษัท ไอโคเน็กซ์ จำกัด",Dindaeng,Degree,2 years,"Full Time, Permanent",Information Technology,Application Specialist - Software,40000
Business Analyst,"MARKETING MOVES CO.,LTD.",Wangthonglang,Degree,N/A,"Full Time, Permanent",Research,Professional Services,25000
Sales Executive,"V.Greatpremium Co., Ltd.",Huaykwang,Degree,1 year,Full Time,Advertising,CS & Business Devpt,32500
พนักงานขายคอมพิวเตอร์ (IT) 2 อัตรา,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Wholesale,CS & Business Devpt,18000
Secretary/ Administration (5+ yrs in Secretary/ Personal Assistant/ Excellent command in English),"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,2 years,"Full Time, Permanent",Chemical,Admin & HR,37500
Service Engineer (Exp in Maintenance & Repair/ Degree in Mechanical) Attractive Benefits,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Industrial Machinery,Maintenance,35000
Sales Executive,"Brand Identity and Innovation Co., Ltd.",Bangkruai,Degree,1 year,Full Time,Trading and Distribution,Channel,22500
Corporate Finance Manager,"Yan Wal Yun Corporation Group Co., Ltd.",Sathorn,Degree,10 years,Permanent,Catering,Banking,67500
Customer Service Officer,"House of Griffin Co., Ltd./โรงเรียนกวดวิชา เฮาส์ ออฟ กริฟฟิน",Rajthevee,Degree,1 year,"Full Time, Permanent",Education,CS & Business Devpt,18000
Buyer,Orenburg Consulting Group,Saraburi,Degree,3 years,"Full Time, Permanent",Human Resources Management,Industrial,37500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Sales Management,27500
Purchasing Officer (1+ yr exp in Purchasing,"Smartcruit Consultant Co., Ltd.",Bangna,Degree,1 year,"Full Time, Permanent",Electronic,Industrial,22500
Sales Manager,Asian Golf Solutions Ltd.,Wattana,Degree,N/A,Full Time,Entertainment,Sales,30000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Marketing,27500
HR Manager ( based in Cha,JAC International,Petchaburi,Not Specified,5 years,Full Time,Human Resources Management,Training & Development,125000
Project  Manager ( SAP HR,CENTRAL GROUP,Bangrak,Degree,8 years,"Full Time, Permanent",Wholesale,Team Lead,62500
Senior Procurement Officer/Assistant Manager/เจ้าหน้าที่จัดซื้ออาวุโส / ผู้ช่วยฝ่ายจัดซื้อต่างประเทศ,"CON F Group Co., Ltd./คอนเอฟ กรุ๊ป จำกัด",Klongtoey,Diploma of High Vocational Education,3 years,"Full Time, Permanent",Property Development,Property,45000
Sales Consultant,Macro Kiosk Limited,Pathumwan,Degree,2 years,"Full Time, Permanent",Telecommunication,CS & Business Devpt,27500
Administrator Logistics/ฝ่ายประสานงานโลจิสติก,S.K.J.Industries Company Limited,Wangthonglang,Degree,1 year,"Contract, Full Time",Paper,Transportation & Logistics,20500
Senior Software Developer (Education Products & Services),Chanwanich Group/กลุ่มบริษัทจันวาณิชย์,Bangrak,Degree,3 years,"Full Time, Permanent",Information Technology,Information Technology (IT),57500
Senior Creative Event,"Bonduba And Ningki United Co., Ltd./บริษัท บอนดูบา แอนด์ นิงกิ ยูไนเต็ด จำกัด",Wangthonglang,Degree,3 years,"Full Time, Permanent",Marketing Services,Marketing,37500
Hotel Reservation Officer,"Khaosan Art Hotel Co.,Ltd.",Pranakorn,Degree,3 years,Full Time,Catering,F & B,22500
Senior C,Adecco Engineering & IT,Sathorn,Degree,3 years,"Full Time, Permanent",Engineering - Electrical,Information Technology (IT),57500
Senior C,Adecco Engineering & IT,Sathorn,Degree,3 years,"Full Time, Permanent",Mechanical,DBA,57500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales,27500
Project Coordinator /ผู้ประสานงานโครงการ,"KEEN EYE CO.,LTD./บริษัท คีนอายน์ จำกัด",Suanluang,Degree,N/A,"Full Time, Permanent",Marketing Services,Web Design,20500
IT Supervisor,"Thai Nisshin Technomic Co., Ltd.",Samutprakarn > Muang,Degree,2 years,"Full Time, Permanent",Catering,Admin & HR,27500
Sales Engineer,"Connexall Co., Ltd./บริษัท คอนเนคซอล จำกัด",Bangplee,Degree,2 years,"Full Time, Permanent",Industrial Machinery,Industrial,23000
Safety Manager (FMCG),"J.S.Technical Services Co., Ltd.",Others,Degree,10 years,Permanent,Plastic,Top Executives (CEO,125000
Risk Surveyor,"Bangkok Union Insurance Public Co., Ltd.",Bangrak,Degree,2 years,"Full Time, Permanent",Pension Funding,Insurance,40000
Sales & Recruitment Consultant (many positions !!),"Pasona HR Consulting Recruitment (Thailand) Co., Ltd.",Sathorn,Degree,N/A,"Full Time, Permanent",Consultancy,CS & Business Devpt,25000
Execute Marketing and Pr Plan/เจ้าหน้าที่ฝ่ายการตลาดและประชาสัมพันธ์,International School of Engineering (ISE),Pathumwan,Degree,1 year,"Contract, Full Time",Education,Public Relations,18000
Assistant Managing Director,"TANASOFT CO., LTD.",Central > Others,Degree,3 years,Permanent,Information Technology,Management,30000
Associate Insight,Millward Brown Ltd.,Sathorn,Master,N/A,"Full Time, Permanent",Survey,Marketing,32500
Domestic Sales  Manager,Kart (Thailand) Limited,Bangrak,Degree,5 years,Full Time,Shipping,CS & Business Devpt,50000
HR Officer,Double A (1991) Public Company Limited,Phrachinburi,Degree,N/A,Permanent,Manufacturing,Recruitment,20500
พนักงานขายกล้อง (CM)  2  อัตรา,CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Wholesale,Sales,18000
Brand Ambassador/เจ้าหน้าที่บริหารแบรนด์ทางการตลาด,"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Advertising,Event Marketing,22500
Administrative Officer/ธุรการ,"Chokerattanakul Import Co., Ltd.",Bangkokyai,Diploma of High Vocational Education,N/A,"Contract, Full Time, Internship",Wholesale,Clerical Support,13000
Maintenance Manager at Wellgrow Industrial Estate (50,JAC International,Chachoengsao,Degree,Not Specified,Permanent,Electronic,Maintenance,62500
Buyer / Sourcing Officer,RSM Recruitment (Thailand) Limited,Samutprakarn > Muang,Degree,3 years,Full Time,Petrochemical,Transportation & Logistics,57500
Lab Engineer / test method & specification (product/process/machine qualification),RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,3 years,Full Time,Electronic,Industrial,35000
Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads)/ Pastry Chef de Partie / Pastry Chef (Croissants/Puffs/Breads),Synova Ltd.,Bangkor-laem,Degree,3 years,"Full Time, Permanent",Catering,F & B,35000
Quality Assurance Engineer / Chief Engineer,"Furukawa Precision (Thailand) Co., Ltd.",Ayutthaya,Degree,5 years,Full Time,Electrical Equipment,Manufacturing,37500
Accounting Manager,"MissConsult Co., Ltd.",Wattana,Degree,5 years,"Full Time, Permanent",Human Resources Management,Accounting,50000
Senior Export Sales Executive (Europe/ Middle East)(Japan/Korea)(Lao/Cambodia/Myanmar),"iBingo Consulting Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Human Resources Management,Distribution,45000
Key Account Management ( Sale Executive ) Urgently Required!!,"Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,1 year,"Full Time, Permanent",Printing,Account Servicing,35000
Senior Marketing,"Nexon (Thailand) Co., Ltd.",Huaykwang,Degree,3 years,Full Time,Information Technology,Marketing Communication,42500
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Sales,27500
Power Plant Assistant Manager/ผู้ช่วยผู้จัดการโรงจักรไฟฟ้า,Hiang Seng Fibre Container Company Limited,Bangkok Area - Samutsakorn,Degree,5 years,Permanent,Paper,Engineering,57500
Administrative Officer /เจ้าหน้าที่ธุรการ,"Asia Biogas (Thailand) Co., Ltd.",Pathumwan,Degree,N/A,Full Time,Waste Management,Admin & HR,18000
Personal Assistant/Digital Projects Assistant to Managing Director,"Germing Frey, Hotels & Resorts PCC",Wattana,Degree,5 years,"Full Time, Part Time, Permanent",Hospitality,Secretary,30000
SOFTWARE NETWORK & INFRASTRUCTURE ENGINEER (System,"AAPICO ITS Co., Ltd./บริษัท อาปิโก ไอทีเอส จำกัด",Pathumwan,Degree,3 years,Full Time,Information Technology,Software Development,62500
Maintenance Manager at Wellgrow Industrial Estate (50,JAC International,Chachoengsao,Degree,Not Specified,Permanent,Electronic,Electronics,62500
.Net Developer (40K,"Saitech Solution Co., Ltd.",Huaykwang,Degree,3 years,"Contract, Full Time, Permanent",Human Resources Management,Programming,57500
Software Programmer  Urgent!!!,"PENTA SOLUTIONS CO., LTD.",Huaykwang,Degree,N/A,Permanent,Information Technology,Others,27500
ผู้จัดการฝ่ายบริหารและพัฒนาทรัพยากรมนุษย์/Human  Resource Management and Development Department Manager,"Buono (Thailand) Co., Ltd.",Bangkok Area - Nakornpatom,Not Specified,Not Specified,Permanent,Food and Beverage,Admin & HR,50000
.NET DEVELOPER (Experienced),MOHARA,Prakanong,Degree,N/A,Full Time,Information Technology,Programming,62500
Quality Engineer,"DONGXUDA (THAILAND) CO., LTD.",Ayutthaya,Degree,2 years,Full Time,Automation Equipment,Control & Testing,22500
จัดซื้้อ/DCC,"Chin Chin (Thailand) Co., Ltd.",Rayong,Not Specified,Not Specified,Permanent,Electronics,Procurement,16500
Senior Developer   ด่วน !!,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Information Technology (IT),52500
Sales Manager,InStat Limited,Bangkok,Not Specified,Not Specified,Full Time,Sports,Customer Service,37500
Purchase Engineering Manager,Manpower Thailand - Eastern Seaboard Branch,Rayong,Degree,7 years,"Full Time, Permanent",Manufacturing,Electronics,140000
Sales Executive/ฝ่ายขาย,"Carro (Thailand) Co., Ltd.",Jatuchak,Degree,Not Specified,"Full Time, Permanent",Information Technology,Sales,20500
Chef Trainning Instructor,Bangkok Thai Cooking Academy,Prakanong,Diploma of High Vocational Education,3 years,Full Time,Food and Beverage,F & B,27500
Administrative Assistant,"Coffral-Ekthana Engineering Co., Ltd.",Huaykwang,Degree,N/A,"Full Time, Permanent",Building,Administration,16500
CAD Operator for ICP/CSD,Sumitomo Corporation,Jatuchak,Diploma of High Vocational Education,3 years,"Contract, Full Time",Construction,Building & Construction,32500
Sales And Marketing Representative/ตัวแทนฝ่ายขายและดูแลการตลาดลูกค้าสัมพันธ์,Ultimate International Marketing,Bangkok,Degree,N/A,"Contract, Freelance, Full Time, Permanent",Marketing Services,Marketing Communication,22500
Programmer C#.net/โปรแกรมเมอร์,"Bright System Japan Co., Ltd.",Wattana,Degree,1 year,Full Time,Information Technology,Information Technology (IT),37500
Accounting Officer/Accounting Officer,"J & P Fragrances Co., Ltd.",Sathorn,Degree,1 year,Full Time,Audit,Accounting,18000
Accounting and Administrative Executive  up to 50k,RSM Recruitment (Thailand) Limited,Bangkok,Degree,3 years,Full Time,Consultancy,Administration,37500
Sales and Customer Management Officer (Administration and Operation),British Council Thailand,Pathumwan,Degree,1 year,"Full Time, Permanent",Education,CS & Business Devpt,25000
IT Specialist (Software Implement & Data Security,"Manpower Professional and Executive Recruitment Co., Ltd,",Rayong,Not Specified,Not Specified,"Full Time, Permanent",Consultancy,Information Technology (IT),37500
Graphic Designer/เจ้าหน้าที่กราฟฟิคดีไซน์,"Kornbadin Intertrade Co., Ltd.",Huaykwang,Degree,N/A,"Contract, Full Time, Permanent",Information Technology,Strategic Planning,30000
Head chef ประจำร้านอาหารสาขาเอเชียทีค / สุขุมวิท 24,"T W S T Co., Ltd.",Wattana,Degree,10 years,"Full Time, Permanent",Food and Beverage,F & B,37500
Digital Marketing Strategy Planner,"Nipa Technology Co., Ltd./บริษัท นิภา เทคโนโลยี จำกัด",Bangrak,Degree,Not Specified,Permanent,Marketing Services,Public Relations,25000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,Sales,27500
Online Sales/พนักงานขายออนไลน์,"Nitan Co.,ltd",Dusit,High School Certificate,N/A,"Full Time, Permanent",Textile,Sales,16500
Business Development Manager,"Volcano Tec (Thailand) co., Ltd.",Rayong,Not Specified,3 years,"Full Time, Permanent",Petrochemical,Marketing,50000
Digital Marketer,"TOP ENGLISH (THAILAND) CO., LTD.",Sathorn,Not Specified,Not Specified,Full Time,Education,Marketing General,30000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Event Marketing,27500
Corporate Secretary,"Premier Solution Co., Ltd.",Klongtoey,Degree,5 years,"Contract, Full Time, Permanent",Power,Secretary,50000
Senior Accountant/เจ้าหน้าที่บัญชีอาวุโส,"EASY SERVICE ACC & LEGAL CO., LTD.",Wattana,Not Specified,Not Specified,"Contract, Full Time",Food and Beverage,General Accounting,18000
Sales Assistant Manager/ผู้ช่วยผู้จัดการฝ่ายขาย,JAC International,Sathorn,Degree,5 years,Full Time,Packaging,CS & Business Devpt,57500
Sales Representative (ภายนอก)/เจ้าหน้าที่ขาย ภายนอก,Naravee Kanpat Company Limited,Bangna,Degree,N/A,Permanent,Health & Beauty Care,Marketing,18000
Marketing Officer / นักการตลาด,Facebody group,Wattana,Degree,2 years,"Full Time, Permanent",Medical,Marketing General,62500
Assistant HR Manager,"iBingo Consulting Co., Ltd.",Bangkok,Degree,8 years,"Full Time, Permanent",Consultancy,Admin & HR,57500
Sales Executives  (Raw Material,"Centasia Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Chemical,Technical Sales,20500
Sale Executive,"NPT Chain Solution Co., Ltd.",Klongtoey,Degree,3 years,"Full Time, Permanent",Delivery,CS & Business Devpt,25000
Business Consultant / Functional Consultant,Triple Dot Consulting,Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,Application Specialist - Software,72500
Assistant Manager Finance & Accouting,"S and L Specialty Polymers Co., Ltd.",Rayong,Degree,10 years,Full Time,Plastic,General Accounting,62500
Business Development Manager,"Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,5 years,"Full Time, Permanent",Architecture,Building,72500
Sales & Marketing 5 Positions /พนักงานขาย,"RICHWISE MARKETING CO., LTD./บริษัท ริชไวส์มาร์เก็ตติ้ง จำกัด",Bangkok Area - Nakornpatom,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Wholesale,Account Servicing,14500
จัดซื้้อ/DCC,"Chin Chin (Thailand) Co., Ltd.",Rayong,Not Specified,Not Specified,Permanent,Electrical Equipment,Merchandising & Purchasing,16500
Customer Operations Executive (BTS Phrom Phong),The Lorry Online Sdn Bhd,Wattana,Degree,1 year,Full Time,Freight Forwarding,CS & Business Devpt,25000
Oversea Purchasing Officer / เจ้าหน้าที่ติดต่อประสานงาน จัดซื้อ (ฝ่ายต่างประเทศ),"Fieu Corporation Co., Ltd./บจก. ฟีเออร์ คอร์เปอร์เรชั่น",Jatuchak,Degree,3 years,"Full Time, Permanent",Trading and Distribution,Sourcing,25000
Accountant,Ninja Logistics (Thailand) Limited.,Prakanong,Degree,N/A,"Full Time, Permanent",Delivery,Taxation,37500
Vendor Management Specialist,Orenburg Consulting Group,Saraburi,Degree,2 years,"Full Time, Permanent",Consultancy,Purchasing,62500
Buyer,Orenburg Consulting Group,Saraburi,Degree,3 years,"Full Time, Permanent",Consultancy,Merchandising - Others,37500
IT Supervisor,"Thai Nisshin Technomic Co., Ltd.",Samutprakarn > Muang,Degree,2 years,"Full Time, Permanent",Food and Beverage,Others,27500
CNC Programmer 40,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,High School Certificate,2 years,Full Time,Electronic,Industrial,57500
Customer Service Officer (Automotive Business),"Cobra International Co., Ltd.",Chonburi,Degree,3 years,Full Time,Sports,Customer Service,37500
Medical Sales Representative Spirometry & Physiotherapy/ผู้แทนขายเครื่องมือแพทย์ กายภาพบำบัดและเครื่องตรวจสมรรถภาพปอด,"Prapatsorn Engineering Supply Co., Ltd.",Pathumwan,Degree,2 years,Full Time,Medical,Medical Services Technician,35000
Sales Representative (Event and Booth Channel),"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Business Development,27500
Senior programmer (C#,Quantium Technology,Prakanong,Degree,3 years,Full Time,Information Technology,Information Technology (IT),72500
Product Specialist,SPRIM ASIA PACIFIC PTE LTD,Bangkok,Degree,2 years,Full Time,Management Consultancy,CS & Business Devpt,30000
Site Engineer,"KP plan construction Co.,Ltd./บริษัทเคพี แปลน คอนสตรัคชั่นจำกัด",Bangkok,Degree,N/A,Permanent,"Engineering - Building, Civil, Construction",Construction,20500
Injection plastic maintenance technician professional/ช่างเทคนิคและซ่อมเครื่องฉีดพลาสติคชำนาญงาน professional,"Lamphun Plastpack Co., Ltd.",Lampoon,Diploma of High Vocational Education,5 years,Full Time,Packaging,Maintenance,14500
SALES EXECUTIVE,Eimskip (Thailand) Ltd.,Yannawa,Degree,N/A,"Full Time, Permanent",Shipping,CS & Business Devpt,20500
Senior Export Sales Executive (Europe/ Middle East)(Japan/Korea)(Lao/Cambodia/Myanmar),"iBingo Consulting Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Human Resources Management,Sales,45000
Product Manager,"Amed International Group Co., Ltd.",Dindaeng,Degree,N/A,"Full Time, Permanent",Health & Beauty Care,Beauty Care,52500
Buyer,Orenburg Consulting Group,Saraburi,Degree,3 years,"Full Time, Permanent",Consultancy,Industrial,37500
Overseas Purchasing Supervisor (Food Industry),TIDA TECH Company Limited,Meenburi,Degree,5 years,"Full Time, Permanent",Food and Beverage,R&D,40000
Shop Supervisor (Premium Oral Care Shop)/ผู้ช่วยผู้จัดการร้าน,"Poon Sisters Co., Ltd.",Bangplee,Degree,2 years,"Full Time, Permanent",Retail,Sales,30000
