title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Shop  Manager (Beauty),"","Three D Eyebrows Co., Ltd.",Klongtoey,(N/A),5 years,"Full Time, Permanent",Health & Beauty Care,"Beauty Care / Health > Others , Sales, CS & Business Devpt > Sales Management , Sales, CS & Business Devpt > Others",50000
Senior Account Executive,Senior,JAC International,Bangkok,Degree,5 years,"Full Time, Permanent",Information Technology,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",62500
แผนก  行政助理,Entry Level,"CN THAI CO., LTD./บริษัท ซีเอ็นไทย จำกัด",Chiang Mai,Degree,N/A,"Full Time, Permanent",Human Resources Management / Consultancy,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant",19000
【WANTED】Backend (server side) Junior Programmer in E,"","POWER GROUP APPLICATIONS CO., LTD.",Wattana,(N/A),Not Specified,Full Time,Others,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",50000
Sales Coordinator/Admin & Sales Coordinator,Entry Level,"Leoch Battery (Thailand) Co., Ltd.",Bangrak,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Wholesale / Retail,"Admin & HR > Administration / Operation / Clerical Support , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",16500
Quality Assurance Engineer / Chief Engineer,"","Furukawa Precision (Thailand) Co., Ltd.",Ayutthaya,Degree,5 years,Full Time,Electronics / Electrical Equipment,"Manufacturing > Quality Assurance, Control & Testing / ISO",37500
Managerial Accounting (3+ yrs in Big Audit Firm/ CPA is +/ Excellent English) Attractive Benefits,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Motor Vehicles,"Accounting > General Accounting , Accounting > Audit , Accounting > Others",50000
Product Engineer,"",Adecco Eastern Seaboard Recruitment Ltd.,Eastern,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy,"Engineering > Engineering Project Management , Engineering > Manufacturing & Production , Engineering > Mechanical",45000
QC Inspector,Entry Level,MARUHA NICHIRO CORPORATION,Sathorn,Degree,5 years,Permanent,Trading and Distribution,"Sciences, Lab, R&D > Food Science , Manufacturing > Quality Assurance, Control & Testing / ISO",32500
Web Programmer,"","BP MUSCLE CO., LTD./บริษัท บีพี มัสเซิล จำกัด  ( BP MUSCLE Co., Ltd.)",Dindaeng,Degree,Not Specified,"Full Time, Permanent",Health & Beauty Care,"Design > Web Design , Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",27500
Key Account Supervisor,Middle,บริษัท ดีเคเอสเอช (ประเทศไทย) จำกัด,Prakanong,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Channel / Distribution",30000
Senior Research Executive,"",TNS (Thailand) Ltd.,Sathorn,Degree,3 years,"Full Time, Permanent",Research / Survey,Marketing / Public Relations > Market Research,45000
SALES EXECUTIVE,Entry Level,Buhlmann (Thailand) Ltd.,Huaykwang,Degree,1 year,Full Time,Trading and Distribution,"Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",30000
Reception/ General Affairs/ Secretary (New Graduate Students,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Trading and Distribution,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",18000
Restaurant Manager,"",HOOTERS ASIA,Bangkok,(N/A),N/A,"Full Time, Permanent",Food and Beverage / Catering,"Hospitality / F & B > F & B , Hospitality / F & B > Management , Hospitality / F & B > Operation",40000
Production Manager/ผู้จัดการฝ่ายผลิต,"","Aesthetic Zecret (AT-ZE) Co., Ltd.",Chachoengsao,Degree,5 years,Full Time,Health & Beauty Care,Manufacturing > Manufacturing Management,52500
Call Center (English Skill) **Income:Salary+Traveling Expenses+Shift : 20,"",True Corporation Public Company Limited,Suanluang,Degree,N/A,Permanent,Telecommunication,"Sales, CS & Business Devpt > Call Centre",22500
Fashion Buyer (Chinese Speaking)/จัดซื้อต่างประเทศ (ภาษาจีน) /จัดซื้อต่างประเทศ( ภาษาจีน ),"","Unique Trading (Thailand) Co., Ltd./บริษัท ยูนิคเทรดดิ้ง (ไทยแลนด์) จำกัด",Pravet,Degree,N/A,"Full Time, Permanent",Trading and Distribution,"Management > General Management , Merchandising & Purchasing > Merchandising - Others , Sales, CS & Business Devpt > Sales Management",23000
Junior Project Clerk,"",UNHC (United Nations High Commissioner for Refugees),Bangkok,Degree,N/A,Full Time,Charity / Social Services / Non-Profit Organisation,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Recruitment / Executive Search",18000
Quality Assurance Engineer (fresh graduate welcome),Entry Level,RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,1 year,Full Time,Human Resources Management / Consultancy,"Engineering > Manufacturing & Production , Engineering > Mechanical",25000
Graphic Designer,"","Prompt Partners Co.,Ltd.",Prakket,(N/A),2 years,"Full Time, Permanent",Packaging,"Media & Advertising > Creative / Design , Design > Graphics , Design > Industrial / Product",32500
Sales Engineer,"","Connexall Co., Ltd./บริษัท คอนเนคซอล จำกัด",Bangplee,Degree,2 years,"Full Time, Permanent",Industrial Machinery / Automation Equipment,"Engineering > Electrical / Electronics , Engineering > Industrial , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",23000
Personal / Executive Assistant,"",CUBE ENT,Wattana,Degree,1 year,Full Time,Information Technology,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",30000
Front Office /เจ้าหน้าที่ต้อนรับและบริการ,Entry Level,"Thonglor Dental Hospital Co., Ltd.",Wattana,Degree,2 years,Permanent,Medical / Pharmaceutical,"Sales, CS & Business Devpt > Customer Service",16500
Senior Full,Senior,"Happio Co., Ltd.",Bangrak,Degree,N/A,Full Time,Information Technology,"Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Others",72500
System Analyst – Web Developer (100K,"",RSM Recruitment (Thailand) Limited,Wattana,Not Specified,Not Specified,Full Time,Human Resources Management / Consultancy,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Programming / Software Development",125000
Adminstration officer,Entry Level,"BSL (THAILAND) CO., LTD./บริษัทบี เอส แอล(ประเทศไทย) จำกัด",Bangsue,Degree,Not Specified,Full Time,Trading and Distribution,Management > General Management,16500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Purchasing Positions,Entry Level,"Healthy Ho Co., Ltd.",Phayathai,Degree,1 year,Permanent,Health & Beauty Care,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,22500
Learning Delivery Coach ภาคใต้,Middle,"Skillpower Services (Thailand) Co., Ltd.",Southern,Degree,3 years,"Full Time, Permanent",Insurance / Pension Funding,"Insurance > Others , Sales, CS & Business Devpt > Sales Management , Banking / Finance > Bancassurance",67500
Shop Manager/ผู้จัดการร้าน สาขาสยามสแควร์วัน,"",บริษัท ฮาโกะ สโตร์ จำกัด,Pathumwan,(N/A),2 years,"Full Time, Permanent",Trading and Distribution,"Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Sales Management",27500
Purchasing Officer/เจ้าหน้าที่จัดซื้อ,Entry Level,"Intelligent Innovation Co., Ltd.",Meenburi,Degree,Not Specified,"Full Time, Permanent",Telecommunication,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,16500
C# .NET Developer (Senior)/นักพัฒนาระบบ C#. .NET (Senior),Middle,"Computer Data System & Solution Co., Ltd./บริษัท คอมพิวเตอร์ดาต้าซิสเต็ม แอนด์ โซลูชั่น จำกัด",Phayathai,Degree,3 years,"Full Time, Permanent",Information Technology,"Information Technology (IT) > DBA , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Programming / Software Development",57500
Platform & Application Supervisor,"","DATTEL CO., LTD.",Klongtoey,Degree,N/A,Contract,Research / Survey,Information Technology (IT) > Others,20500
Customer Care Executive /ผู้บริหารการดูแลลูค้า,"",Holistic Massage Thailand.Com,Bangkok,Degree,N/A,Permanent,Health & Beauty Care,"Sales, CS & Business Devpt > Call Centre , Sales, CS & Business Devpt > Customer Service , Others > Student / Fresh Graduate / No Experience",25000
Sales engineer / เจ้าหน้าที่ขาย,Entry Level,CHU KAI PUBLIC COMPANY LIMITED,Bangplee,Degree,1 year,Permanent,Motor Vehicles,"Engineering > Mechanical , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",25000
AP,Not Specified,"TSL RUNGCHAROEN CO., LTD./บริษัท ทีเอสเเอลรุ่งเจริญ จำกัด",Chonburi,Not Specified,Not Specified,Permanent,Hospitality / Catering,Accounting > General Accounting,16500
Account and Finance Manager (ด่วน),Middle,Were Bean Coffee,Rajthevee,Degree,3 years,"Full Time, Permanent",Food and Beverage / Catering,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",37500
PHP Programmer,"",Nanamee Co. Ltd.,Bangkhuntien,Degree,1 year,Full Time,Interior Design / Graphic Design,"Information Technology (IT) > Internet / SEO , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Programming / Software Development",30000
Sales Consultant (Super Car),"",Adecco Engineering & IT,Bangkok,Degree,3 years,"Full Time, Permanent",Human Resources Management / Consultancy,"Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Sales Management",22500
Content Creator (3 Person),"",Matichon Public Company Limited,Jatuchak,Not Specified,2 years,Permanent,Advertising / Public Relations / Marketing Services,Marketing / Public Relations > Brand / Product Management,20500
Receptionist (พนักงานต้อนรับ),Middle,"Wine & Spirit Trading Co., Ltd.",Pathumwan,(N/A),1 year,Full Time,Hospitality / Catering,"Admin & HR > Administration / Operation / Clerical Support , Sales, CS & Business Devpt > Customer Service , Hospitality / F & B > Operation",18000
HOTEL REVENUE MANAGER/ผู้จัดการทางด้านการจัดการรายได้ ของโรงแรม,Middle,Global Rooms LTD.,Bangrak,Degree,2 years,"Full Time, Permanent",Hospitality / Catering,"Hospitality / F & B > Management , Hospitality / F & B > Operation , Hospitality / F & B > Tourism / Travel Agency",52500
พนักงานทั่วไป/พนักงานทั่วไป,"","KCC Corporation Co., Ltd.",Bangkok Area - Nonthaburi,(N/A),N/A,"Full Time, Permanent",Wholesale / Retail,"Sales, CS & Business Devpt > Customer Service",13000
Developer (Reporting Service SSRS),"","iCONEXT CO., LTD.",Jatuchak,Degree,2 years,"Contract, Full Time",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > DBA , Information Technology (IT) > Programming / Software Development",37500
Senior Account Executive/ AE  (Catering service),"","Monkey can fly co.,ltd",Prakanong,Not Specified,2 years,Full Time,Food and Beverage / Catering,"Media & Advertising > Creative / Design , Design > Others , Hospitality / F & B > Management",22500
Secretary/Assistant  (urgent),Entry Level,"Cal-Comp Electronics (Thailand) Public Co., Ltd.",Klongtoey,Degree,1 year,"Full Time, Permanent",Electronics / Electrical Equipment,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",22500
Customer Service Specialist,"","Pulse Projects (Thailand) Co., Ltd",Huaykwang,Degree,1 year,"Full Time, Permanent",Financial Services,"Sales, CS & Business Devpt > Call Centre , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing",30000
Food & Beverage Manager/ผู้จัดการแผนกอาหารและเครื่องดื่ม,Middle,"The Banyan Golf Club (Hua Hin) Co., Ltd.",Prachuap Khiri Khan,Degree,3 years,Full Time,Hospitality / Catering,Hospitality / F & B > F & B,40000
Web Application Programmer,Entry Level,"KK & M SUN GROUP Co., Ltd.",Donmuang,(N/A),N/A,Full Time,Jewellery / Gems / Watches,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",42500
Finance Manager/Admin Support  (80,"","Kyani (Thailand) Co., Ltd.",Ladprao,Degree,3 years,Full Time,Others,Accounting > Others,80000
Helpdesk Support (Renewable contract),"",Adecco Phaholyothin Limited,Pathumwan,Degree,2 years,"Contract, Full Time",Human Resources Management / Consultancy,"Information Technology (IT) > Support , Information Technology (IT) > Network & System , Information Technology (IT) > Others",22500
Branch Manager (Chiangmai) (Up to 60k/Restaurant&Office),Middle,"Linktrix (Thailand) Co., Ltd.",Chiang Mai,Degree,8 years,"Full Time, Permanent",Human Resources Management / Consultancy,Management > General Management,62500
Sales Engineer (Overseas Training)/วิศวกรฝ่ายขาย (ฝึกอบรมต่างประเทศ),"",JAC AYUTTHAYA,Klongluang,Degree,3 years,Permanent,Manufacturing,"Engineering > Industrial , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",45000
Shop Supervisor (Premium Oral Care Shop)/ผู้ช่วยผู้จัดการร้าน,"","Poon Sisters Co., Ltd.",Bangplee,Degree,2 years,"Full Time, Permanent",Wholesale / Retail,"Beauty Care / Health > Others , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Retail Sales",30000
Merchandising Officer,Entry Level,"The Mall Group Co., Ltd.",Bangkapi,Degree,1 year,Full Time,Management Consultancy / Service,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,23000
Sales Manager ( ประจำสาขาชลบุรี )/ผู้จัดการฝ่ายขาย,Senior,"Kasem Glass Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Architecture / Building / Construction,"Sales, CS & Business Devpt > Account Servicing",40000
Electrical Engineer  / วิศวกรไฟฟ้า,Entry Level,"Si Q&E Co., Ltd./บริษัท ซี คิวแอนด์ อี",Jatuchak,Degree,3 years,"Contract, Full Time, Part Time, Permanent","Engineering - Building, Civil, Construction / Quantity Survey","Building & Construction > Civil / Structural , Engineering > Electrical / Electronics , Engineering > Others",27500
E,"",JAC International,Bangkok,Degree,4 years,"Full Time, Permanent",Information Technology,Information Technology (IT) > IT Project Management / Team Lead,105000
Senior Marketing/หัวหน้าทีมการตลาด,Middle,"Jintai Chituan (Thailand) Co., Ltd.",Bangkapi,Degree,2 years,Permanent,Jewellery / Gems / Watches,"Marketing / Public Relations > Management , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Others",37500
Sales Coordinator,"",Vittoria Asia Pacific Limited/บริษัท วิทตอเรีย เอเชีย แปซิฟิก จำกัด,Pravet,Degree,1 year,"Full Time, Permanent",Athletics / Sports,"Media & Advertising > Strategic Planning , Marketing / Public Relations > Marketing General , Sales, CS & Business Devpt > Sales Management",45000
Operation Officer (Export),Entry Level,"Sinotrans Thai Logistics Co., Ltd.",Klongtoey,Degree,N/A,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping,"Transportation & Logistics > Others , Transportation & Logistics > Freight Forwarding , Transportation & Logistics > Export Import",25000
Store Manager Trainee/ผู้จัดการสาขาฝึกหัด,Senior,Central Group (Central Food Retail Group),Central,Diploma of High Vocational Education,5 years,Full Time,Wholesale / Retail,"Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Sales Management",27500
Underwriting Manager (Marine)/Underwriting Manager (Marine),Middle,"IDEABOY RECRUITMENT CO., LTD.",Klongsan,Degree,3 years,Full Time,Insurance / Pension Funding,Insurance > Underwriter,57500
【LIMITED】Backend (server side) Senior Programmer in E,"","POWER GROUP APPLICATIONS CO., LTD.",Wattana,(N/A),Not Specified,Full Time,Others,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",95000
Customer Service Officer,Entry Level,"Skillpower Services (Thailand) Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Human Resources Management / Consultancy,"Admin & HR > Administration / Operation / Clerical Support , Sales, CS & Business Devpt > Customer Service",22500
Collection officer/ Credit Control,Entry Level,"Global Style Trading Co., Ltd.",Wattana,Degree,1 year,"Full Time, Permanent",Trading and Distribution,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",20500
Operation Associate,"","Helpdee Technology Co., Ltd.",Wattana,Degree,N/A,"Full Time, Permanent",General Business Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Brand / Product Management , Sales, CS & Business Devpt > Sales Management",16500
Accounting officer,"",OSS CONSULTING COMPANY LIMITED,Pathumwan,Degree,Not Specified,"Full Time, Permanent",Management Consultancy / Service,"Accounting > General Accounting , Accounting > Taxation , Others > Student / Fresh Graduate / No Experience",20500
Mid to senior UX/UI Designer,"","Morphosis Apps Co., Ltd.",Sathorn,(N/A),2 years,Full Time,Information Technology,"Design > Graphics , Design > Web Design",50000
Quantity Surveyor,"","Skillpower Services (Thailand) Co., Ltd.",Nongjok,Degree,3 years,Permanent,"Engineering - Building, Civil, Construction / Quantity Survey",Building & Construction > Building / Construction / QS,40000
Order Management Officer/ พนักงานจัดการออเดอร์,"","EIJI SKIN EXPERT CO., LTD.",Central,Degree,1 year,"Full Time, Permanent",Health & Beauty Care,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Others",13000
HR Admin,Not Specified,"J.S.Technical Services Co., Ltd.",Pathumwan,Degree,1 year,Full Time,Financial Services,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Employee Relations",22500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Production Manager/ผู้จัดการฝ่ายผลิต,Senior,"Seki Corp (Thailand) Co., Ltd.",Saraburi,Degree,5 years,"Contract, Full Time",Engineering - Electrical / Electronic / Mechanical,Manufacturing > Manufacturing Management,32500
Sales Manager,Not Specified,Asian Technology Solutions Ltd.,Klongtoey,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management / Consultancy,Engineering > Engineering Project Management,95000
Receptionist,Not Specified,"Manpower professional and executive recruitment co,.ltd.",Huaykwang,Not Specified,Not Specified,Full Time,Property Development,"Sales, CS & Business Devpt > Customer Service",20500
ฝ่ายผลิต,"","CHUANYI INDUSTRY CO., LTD.",Bangkok Area - Samutsakorn,(N/A),18 years,Full Time,General Business Services,Manufacturing > General / Production,11500
Software Tester/Software Tester,"","Gosoft (Thailand) Co., Ltd.",Bangrak,Degree,> 20,"Contract, Full Time",Information Technology,Information Technology (IT) > Application Specialist - Software,27500
Personal Secretary of CEO/เลขาส่วนตัวของผู้บริหารสูงสุด,Entry Level,"KK&M SUN GROUP Co.,Ltd",Bangkok,Degree,N/A,Full Time,General Business Services,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",30000
Accountant / เจ้าหน้าบัญชี,"","DataExpert (Thailand) Co., Ltd.",Prakket,Degree,N/A,"Full Time, Permanent",Industrial Machinery / Automation Equipment,"Accounting > General Accounting , Accounting > Credit Control , Accounting > Others",19000
Businesses development,"","FENCHEM (THAILAND) CO., LTD.",Wattana,Degree,N/A,Full Time,Trading and Distribution,"Sales, CS & Business Devpt > Business Development",30000
Facility Manager,"","Gemini Personnel Recruitment Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Clothing / Garment / Textile,Engineering > Manufacturing & Production,80000
Production Supervisor (Wangnoi Factory),Middle,Tipco Foods Public Company Limited,Ayutthaya,Degree,1 year,"Full Time, Permanent",Food and Beverage / Catering,"Engineering > Manufacturing & Production , Sciences, Lab, R&D > Food Science , Manufacturing > Manufacturing Management",25000
Export Sales Representative (หลายอัตรา),"","Yan Wal Yun Corporation Group Co., Ltd.",Sathorn,Degree,3 years,Full Time,Food and Beverage / Catering,"Sales, CS & Business Devpt > Account Servicing",25000
Marketing Communication/นักการสื่อสารทางการตลาด,"",Sphere Agency,Bangrak,Degree,2 years,Full Time,Advertising / Public Relations / Marketing Services,"Media & Advertising > Strategic Planning , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Marketing Communication",22500
Engeineering Adjuster/ผู้สำรวจและประเมินความเสียหาย,"",McLarens (Thailand) Ltd.,Bangrak,Degree,N/A,"Full Time, Permanent","Engineering - Building, Civil, Construction / Quantity Survey",Insurance > Insurance Agent / Broker,27500
Accounting Officer / Accountant /เจ้าหน้าบัญชี,"","ENVIRE OPERATION CO., LTD.",Dusit,Diploma of High Vocational Education,1 year,Full Time,Engineering - Others,"Accounting > General Accounting , Accounting > Taxation , Accounting > Others",14500
Programmer and Programmer Analyst ด่วน !!,Entry Level,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Others > Student / Fresh Graduate / No Experience",30000
เจ้าหน้าที่ขายโครงการ ( พื้นที่เช่าศูนย์แฟชั่น ),"","Renova Group Co., Ltd.",Bangkae,Diploma of High Vocational Education,1 year,Permanent,Property Development,"Property > Property Management , Sales, CS & Business Devpt > Account Servicing",27500
กราฟฟิค ดีไซน์เนอร์/ Graphic Designer,"","Asia Beauty Consulting Co., Ltd.",Wattana,Not Specified,Not Specified,Full Time,Health & Beauty Care,Design > Graphics,30000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Senior Java Programmer (urgently required),Senior,"The Prodigy (Thailand) Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Network & System",57500
ACCOUNTING OFFICER / ADMINISTRATIVE,"","Thomasmade Co., Ltd./บริษัท โธมัสเมด จำกัด",Rajthevee,(N/A),1 year,"Full Time, Permanent",Energy / Power / Water / Oil & Gas / Waste Management,"Accounting > General Accounting , Accounting > Taxation , Admin & HR > Administration / Operation / Clerical Support",19000
Account Manager,"",บริษัท เอฟ-โค้ด (ประเทศไทย) จำกัด,Wattana,Degree,Not Specified,"Full Time, Permanent",Others,"Sales, CS & Business Devpt > Customer Service",27500
Transport Manager (Eastern seaborad),Senior,en world Thailand,Rayong,Degree,5 years,"Full Time, Permanent",Chemical / Plastic / Paper / Petrochemical,Transportation & Logistics > Freight Forwarding,57500
Backend Developer,"",Waylar Tech,Pathumwan,(N/A),N/A,Full Time,Telecommunication,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Network & System",37500
Senior accountant / controller/Senior accountant / controller,"","Namino Co., Ltd.",Klongsamwa,Degree,4 years,"Full Time, Part Time, Permanent",Health & Beauty Care,Accounting > General Accounting,57500
Design Engineer Thermoforming,"",JAC AYUTTHAYA,Central,Degree,3 years,"Full Time, Permanent",Electronics / Electrical Equipment,"Design > Industrial / Product , Engineering > Mechanical",52500
Programmer / Software Developer Java/โปรแกรมเมอร์ / พัฒนา,Entry Level,"AMDIS Media and IT Services, Ltd.",Thanyaburi,Degree,1 year,"Full Time, Internship, Permanent",Information Technology,"Information Technology (IT) > Programming / Software Development , Information Technology (IT) > Testing / QA , Information Technology (IT) > IT Consulting",20500
Japanese Speaking Interpreter,Not Specified,JAC Recruitment Thailand,Bangkok,Not Specified,Not Specified,Full Time,Manufacturing,Professional Services > Translation,62500
Content Coordinator,Entry Level,Kelly Services,Pathumwan,Degree,Not Specified,Contract,Tourism / Travel Agency,"Media & Advertising > Others , Hospitality / F & B > Tourism / Travel Agency , Others > Others",25000
Credit Admin Manager (Exp in Financial Institution/ Knowledge of NCB) Attractive Benefits,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Financial Services,"Admin & HR > Administration / Operation / Clerical Support , Banking / Finance > Loan , Banking / Finance > Others",62500
