title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Marketing Researcher (Executive/ Manager),Middle,Adecco Recruitment (Thailand) Limited,Bangrak,Degree,5 years,Full Time,Research / Survey,"Marketing / Public Relations > Management , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Market Research",50000
Software Product Design Manager,Senior,OPTIMAIL COMPANY LIMITED,Huaykwang,Degree,Not Specified,"Full Time, Permanent",Information Technology,"Design > Industrial / Product , Information Technology (IT) > Application Specialist - Software",95000
Sales Executive (13K,Entry Level,"Kokoro Sato Co., Ltd./บริษัท โคะโคโระ ซาโตะ จำกัด",Sathorn,Degree,2 years,"Full Time, Permanent",Manufacturing,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing",25500
Business Development Consultant(5 days work/High Salary Package/ Emquartier),Entry Level,"Linktrix Manpower (Thailand) Co., Ltd.",Bangkok,Degree,1 year,Full Time,Human Resources Management / Consultancy,Admin & HR > Recruitment / Executive Search,40000
HR Manager,"",Premier Tech Chronos Limited,Bangplee,Degree,N/A,Full Time,Industrial Machinery / Automation Equipment,"Admin & HR > Others , Admin & HR > Compensation & Benefits , Admin & HR > Recruitment / Executive Search",87500
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Packaging Artworker (Finished Artist),"","GROUP24/7 Worldwide (Thailand) Co., Ltd.",Bangkapi,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Media / Publishing / Printing,"Media & Advertising > Creative / Design , Media & Advertising > Production , Design > Graphics",27500
Purchasing Officer (1+ yr exp in Purchasing,"","Smartcruit Consultant Co., Ltd.",Bangna,Degree,1 year,"Full Time, Permanent",Engineering - Electrical / Electronic / Mechanical,"Merchandising & Purchasing > Industrial , Merchandising & Purchasing > Merchandising - Others , Merchandising & Purchasing > Procurement / Purchasing / Sourcing",22500
Site Engineer / วิศวกรควบคุมงาน,"",Land and Houses Public Company Limited,Bangkok,Degree,N/A,Full Time,Property Development,"Building & Construction > Civil / Structural , Engineering > Engineering Project Management",20500
Brand Ambassador ( Event Channel ),Entry Level,"Ultimate International Marketing Co.,Ltd.",Bangkok,Degree,N/A,"Contract, Full Time",Advertising / Public Relations / Marketing Services,"Marketing / Public Relations > Brand / Product Management , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Event Marketing",25000
Business Analyst,"","MARKETING MOVES CO.,LTD.",Wangthonglang,Degree,N/A,"Full Time, Permanent",Research / Survey,"Professional Services > Business Analysis / Data Analysis , Professional Services > Business Consultancy , Marketing / Public Relations > Market Research",25000
Financial Planning Analyst/นักวิเคราะห์การวางแผนการเงิน,"",Centercom Company Limited.,Sathorn,Not Specified,Not Specified,Permanent,Information Technology,Banking / Finance > Financial Services,22500
พนักงานขายสินค้าภาพและเสียง (AV)    2   อัตรา,"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Wholesale / Retail,"Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Others",18000
Oversea Support Control & Coordinator (Japanese Speaking),"",Adecco Japanese,Ladkrabang,Degree,1 year,Full Time,Motor Vehicles,Admin & HR > Administration / Operation / Clerical Support,27500
Recruitment Manager (Restaurant Business),Middle,"Destination Eats Co., Ltd.",Wattana,Degree,5 years,Full Time,Hospitality / Catering,"Admin & HR > Others , Hospitality / F & B > Management , Admin & HR > Recruitment / Executive Search",50000
พนักงานขาย,Entry Level,"PRO-TOP CHEMICALCONSTRUCTION CO., LTD.",Prakket,Degree,Not Specified,"Full Time, Permanent",Others,"Sales, CS & Business Devpt > Account Servicing",22500
R&D Chemist Packaging or OEM Automotive ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Chemical / Plastic / Paper / Petrochemical,"Sciences, Lab, R&D > Chemical , Sciences, Lab, R&D > Laboratory , Sciences, Lab, R&D > Research & Development (R&D)",37500
Warehouse Manager,Senior,"Perfect Companion Group Co., Ltd.",Bangkok Area - Samutprakarn,Degree,5 years,Full Time,Freight Forwarding / Delivery / Shipping,"Transportation & Logistics > Inventory / Warehousing , Transportation & Logistics > Supply Chain , Transportation & Logistics > Export Import",72500
Assistant Store General Manager/ผู้ช่วยผู้จัดการสาขา,Senior,Central Group (Central Food Retail Group),Others,Diploma of High Vocational Education,5 years,Full Time,Wholesale / Retail,"Sales, CS & Business Devpt > Retail Sales , Sales, CS & Business Devpt > Sales Management",32500
Developer,"","Orisma Technology Co., Ltd.",Suanluang,Degree,N/A,"Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",27500
IT Support,"","Skillpower Services (Thailand) Co., Ltd.",Dindaeng,Degree,2 years,"Contract, Full Time, Permanent",Chemical / Plastic / Paper / Petrochemical,"Information Technology (IT) > Hardware , Information Technology (IT) > IT Project Management / Team Lead , Information Technology (IT) > Support",22500
Accounting / Finance Officer  (2 Positions)/พนักงานบัญชี,"",ITALTHAI Group / Chaophaya Development Corporation Limited,Sampantawong,Degree,N/A,"Full Time, Permanent",Hospitality / Catering,"Accounting > General Accounting , Accounting > Taxation , Banking / Finance > Others",20500
Brand Manager (Vixol Brand),Middle,I.P. Trading Ltd.,Sapan-suang,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Marketing / Public Relations > Management , Marketing / Public Relations > Brand / Product Management , Marketing / Public Relations > Others",57500
Marketing Executive (Junior),Entry Level,PDVL Overseas Advisory,Bangkok,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Education,"Sales, CS & Business Devpt > Business Development , Education > Others , Marketing / Public Relations > Brand / Product Management",22500
HR Officer (Bangna,"",Manarco Recruitment Limited,Bangna,Degree,3 years,"Full Time, Permanent",Manufacturing,"Admin & HR > Secretary / Personal Assistant , Admin & HR > Recruitment / Executive Search",30000
Store Manager (Family Karaoke),Senior,"GF Capital (Thailand) Co., Ltd.",Wattana,Degree,N/A,Full Time,Human Resources Management / Consultancy,"Hospitality / F & B > Management , Hospitality / F & B > Operation , Hospitality / F & B > Others",62500
Earthing & Bonding and EMC expert (Temporary Contract for 24 months),"","NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Human Resources Management / Consultancy,"Building & Construction > Building / Construction / QS , Building & Construction > Civil / Structural , Engineering > Engineering Project Management",95000
Young Learners Assistant /ผู้ช่วยครูผู้สอนภาษาอังกฤษ (Satit Chula),"",British Council Thailand,Pathumwan,Diploma of High Vocational Education,N/A,"Contract, Full Time",Education,"Admin & HR > Administration / Operation / Clerical Support , Education > Tutor / Instructor , Education > Others",25000
Bancassurance Development Manager (BDM) ภาคใต้/ผู้จัดการแผนกพัฒนาเจ้าหน้าที่ธนาคาร,Senior,"Skillpower Services (Thailand) Co., Ltd.",Southern,Degree,3 years,"Full Time, Permanent",Insurance / Pension Funding,"Insurance > Others , Marketing / Public Relations > Management , Banking / Finance > Bancassurance",72500
Procurement Manager,"",en world Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Food and Beverage / Catering,"",80000
เลขานุการ / พนักงานธุรการ,"","Asian Engineering Consultants Corp., Ltd.",Sathorn,Diploma of High Vocational Education,2 years,Contract,"Engineering - Building, Civil, Construction / Quantity Survey","Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",22500
นิติกรอาวุโส,Senior,CHU KAI PUBLIC COMPANY LIMITED,Bangsaotong,Degree,5 years,Permanent,Engineering - Others,Professional Services > Legal & Compliance,32500
Online Marketing Executive,Entry Level,NEXTEC CONSTRUCTION AND DESIGN COMPANY LIMITED,Central,Degree,N/A,"Freelance, Full Time, Part Time, Permanent, Temporary","Engineering - Building, Civil, Construction / Quantity Survey","Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Marketing Communication",23000
Market Analyst / Sugar Industry,"",RSM Recruitment (Thailand) Limited,Bangkok,Degree,5 years,Full Time,Trading and Distribution,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Marketing General",72500
Senior Secretary / Personal Assistant,"",Southeast Insurance Public Company Limited,Bangrak,Degree,8 years,"Full Time, Permanent",Insurance / Pension Funding,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Secretary / Personal Assistant , Admin & HR > Others",50000
เจ้าหน้าที่การค้าและการลงทุน (Trader Officer) จำนวน 3 อัตรา,"","Ausiris Co., Ltd.",Bangrak,Degree,N/A,Permanent,Trading and Distribution,"Sales, CS & Business Devpt > Account Servicing",16500
Microsoft Dynamic 365 Enterprise and Retail/Finance Consultant,"","FPT Software (Thailand) Co., Ltd.",Huaykwang,(N/A),8 years,Full Time,Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > IT Consulting , Information Technology (IT) > Others",72500
SALE SUPPORT/ ADMINISTRATOR,Entry Level,Page Group Thailand,Bangkok,Degree,6 years,"Full Time, Permanent",Chemical / Plastic / Paper / Petrochemical,"Sales, CS & Business Devpt > Customer Service , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Others",72500
Sales Executive 2 Positions/พนักงานขาย 2 ตำแหน่ง,Senior,"iMarket (Thailand) Co., Ltd./บริษัท ไอมาร์เก็ต (ไทยแลนด์) จำกัด",Chomthong,Degree,3 years,Full Time,Trading and Distribution,"Sales, CS & Business Devpt > Sales Management , Sales, CS & Business Devpt > Others , Sales, CS & Business Devpt > Direct",30000
Head of Accounting and Finance/หัวหน้าฝ่ายบัญชีและงบประมาณ,"",National Savings Fund,Phayathai,Degree,5 years,"Full Time, Permanent",Accounting / Audit / Tax Services,Accounting > General Accounting,67500
Driver,"","FPT Food Process Technology Co., Ltd.",Bangplee,High School Certificate,2 years,Full Time,Industrial Machinery / Automation Equipment,Others > Others,13000
Sales Representative,"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Sale Representative & PR,Middle,"BELUCKY.,LTD.PART",Sathorn,Degree,3 years,Full Time,Food and Beverage / Catering,Marketing / Public Relations > Management,23000
ASP .Net Programmer,Entry Level,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,N/A,"Full Time, Permanent",Motor Vehicles,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > Programming / Software Development",18000
Personal Assistant to CMO (Chinese Speaking),"",Central Group (Supporting Unit),Bangkok,Degree,2 years,Full Time,Wholesale / Retail,Admin & HR > Secretary / Personal Assistant,50000
Lab Engineer / test method & specification (product/process/machine qualification),"",RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,3 years,Full Time,Engineering - Electrical / Electronic / Mechanical,"Engineering > Industrial , Engineering > Manufacturing & Production , Engineering > Mechanical",35000
Purchase Officer ( Chinese ),"","In Chern Trading Co., Ltd.",Samutprakarn > Muang,Degree,N/A,"Full Time, Permanent",Wholesale / Retail,Merchandising & Purchasing > Procurement / Purchasing / Sourcing,50000
Deal Manager,"",JAC International,Pathumwan,Degree,Not Specified,Full Time,Property Management / Consultancy,Banking / Finance > Others,125000
Accountant (Chinese or English speaker),"","In Chern Trading Co., Ltd.",Samutprakarn > Muang,Degree,2 years,Full Time,Wholesale / Retail,"Accounting > General Accounting , Accounting > Credit Control , Accounting > Taxation",50000
Programmer,Entry Level,"Leading Power Recruitment Co., Ltd.",Chonburi,Degree,N/A,Contract,Chemical / Plastic / Paper / Petrochemical,Information Technology (IT) > Programming / Software Development,25500
Senior Partnership Manager,"",Page Group Thailand,Bangkok,Degree,5 years,"Full Time, Permanent",Media / Publishing / Printing,"Media & Advertising > Strategic Planning , Marketing / Public Relations > Brand / Product Management , Marketing / Public Relations > Marketing Communication",105000
Office Assistant,"","North China Power Engineering Co., Ltd. of China Power Engineering Consulting Group",Huaykwang,Degree,1 year,Full Time,Engineering - Electrical / Electronic / Mechanical,"Admin & HR > Administration / Operation / Clerical Support , Marketing / Public Relations > Marketing General",27500
Guest Service Agent/พนักงานต้อนรับส่วนหน้า,Entry Level,Koranaree Courtyard Boutique Hotel,Nakhon Ratchasima,Degree,N/A,"Full Time, Permanent",Hospitality / Catering,"Sales, CS & Business Devpt > Customer Service , Hospitality / F & B > Management",14500
Graphic Designer  (New Graduated are welcome),"","Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,2 years,"Full Time, Permanent",Media / Publishing / Printing,"Design > Graphics , Design > Industrial / Product , Media & Advertising > Print Media",18000
Online Marketing Executive/เจ้าหน้าที่การตลาดออนไลน์,Entry Level,"VIDA REAL ESTATE CO., LTD.",Wattana,Degree,1 year,"Full Time, Permanent",Property Development,"Marketing / Public Relations > Marketing General , Marketing / Public Relations > Others",16500
Facebook advertising and Growth Expert,"",Alphaweb Ventures LTD.,Wattana,Degree,1 year,Full Time,Information Technology,"Information Technology (IT) > Internet / SEO , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Marketing Communication",72500
Customs Specialist,"",Manpower Thailand - Eastern Seaboard Branch,Rayong,Degree,5 years,"Full Time, Permanent",Manufacturing,"Transportation & Logistics > Freight Forwarding , Transportation & Logistics > Shipping , Transportation & Logistics > Export Import",62500
Quality Assurance / พนักงานตรวจสอบคุณภาพสินค้า (เสื้อผ้า),"","Pomelo Fashion Co., Ltd.",Prakanong,(N/A),N/A,Temporary,Clothing / Garment / Textile,"Manufacturing > Garment / Textile , Manufacturing > Quality Assurance, Control & Testing / ISO",13000
Immigration Consultant/ที่ปรึกษาปัญหาการอพยพ,Entry Level,Globevisa Group,Pathumwan,Diploma of High Vocational Education,N/A,"Contract, Full Time",Human Resources Management / Consultancy,"Sales, CS & Business Devpt > Others",37500
Programme Manager Education (Newton Fund),Entry Level,British Council Thailand,Pathumwan,Degree,1 year,"Full Time, Permanent",Education,Education > Others,57500
Marketing Manager (Food Fields) / Chonburi,Top,"Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,10 years,"Full Time, Permanent",Manufacturing,Marketing / Public Relations > Management,80000
Project  Manager ( SAP HR,"",CENTRAL GROUP,Bangrak,Degree,8 years,"Full Time, Permanent",Wholesale / Retail,Information Technology (IT) > IT Project Management / Team Lead,62500
Assistant Planning Manager/ผู้ช่วยผู้จัดการฝ่ายวางแผนและข้อมูล,Senior,"PSS Metal Sheet Co., Ltd",Phrachinburi,Degree,3 years,"Full Time, Permanent","Engineering - Building, Civil, Construction / Quantity Survey",Management > General Management,25000
Sales Representative,"",DAI NIPPON PRINTING (THAILAND) COMPANY LIMITED,Wattana,Degree,3 years,"Full Time, Permanent",Others,"Sales, CS & Business Devpt > Customer Service",32500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising / Public Relations / Marketing Services,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Event Marketing , Sales, CS & Business Devpt > Sales Management",27500
Billing / Accounting Staff  Working at Suvarnabhumi Airport (Freezone AO4)/เจ้าหน้าที่บัญชี,"","SIAM NISTRANS CO., LTD.",Bangplee,Degree,1 year,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping,Transportation & Logistics > Freight Forwarding,16500
Digital Marketing Manager for Mobile App (Property Finder Mobile APP,"",Passionfruit (Thailand)/บริษัท แพชชั่นฟรุ้ต ไทยแลนด์ จำกัด,Huaykwang,Degree,2 years,"Full Time, Permanent",Information Technology,"Marketing / Public Relations > Brand / Product Management , Marketing / Public Relations > Marketing General , Marketing / Public Relations > Marketing Communication",22500
หัวหน้าบัญชีและการเงิน,Senior,"TONKLA CHIANGMAI CO., LTD.",Chiang Mai,Degree,4 years,Full Time,Education,Accounting > General Accounting,23000
วิศวกรกระบวนการผลิต (Senior Process Engineer ),Entry Level,"NEO Factory Co., Ltd./บริษัท นีโอ แฟคทอรี่ จำกัด",lamlookka,Degree,3 years,"Full Time, Permanent",Manufacturing,Manufacturing > Production Planning / Control,27500
Graphic Designer,Middle,"Pakgon Co., Ltd.",Bangrak,Degree,1 year,Full Time,Information Technology,Design > Graphics,27500
Sales Representative,Entry Level,"CITYWORLD GROUP CO., LTD.",Prakanong,Degree,2 years,Full Time,Chemical / Plastic / Paper / Petrochemical,"Sales, CS & Business Devpt > Business Development , Sales, CS & Business Devpt > Account Servicing , Sales, CS & Business Devpt > Technical Sales / Sales Engineer",27500
IT Supervisor,"","Thai Nisshin Technomic Co., Ltd.",Samutprakarn > Muang,Degree,2 years,"Full Time, Permanent",Food and Beverage / Catering,"Admin & HR > Administration / Operation / Clerical Support , Information Technology (IT) > Others",27500
Customer Service Manager (FMCG) 70,"",Graphene Recruitment Company Limited,Bangkok,Degree,3 years,Full Time,Trading and Distribution,"Sales, CS & Business Devpt > Customer Service",95000
Customer Service Officer,"","House of Griffin Co., Ltd./โรงเรียนกวดวิชา เฮาส์ ออฟ กริฟฟิน",Rajthevee,Degree,1 year,"Full Time, Permanent",Education,"Sales, CS & Business Devpt > Customer Service , Education > Others , Sales, CS & Business Devpt > Others",18000
พนักงานขายมือถือ  2   อัตรา,"",CHIANG MAI SIAM T. V. COMPANY LIMITED,Chiang Mai,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Wholesale / Retail,"Sales, CS & Business Devpt > Retail Sales",18000
HRD Supervisor (Exp. in Recruit & Training with Good English Communication),"","Smartcruit Consultant Co., Ltd.",Klongtoey,Degree,5 years,"Full Time, Permanent",Freight Forwarding / Delivery / Shipping,"Admin & HR > Administration / Operation / Clerical Support , Admin & HR > Recruitment / Executive Search , Admin & HR > Training & Development",32500
Oversea Purchasing Officer / เจ้าหน้าที่ติดต่อประสานงาน จัดซื้อ (ฝ่ายต่างประเทศ),"","Fieu Corporation Co., Ltd./บจก. ฟีเออร์ คอร์เปอร์เรชั่น",Jatuchak,Degree,3 years,"Full Time, Permanent",Trading and Distribution,"Admin & HR > Administration / Operation / Clerical Support , Merchandising & Purchasing > Procurement / Purchasing / Sourcing",25000
Sales Coordinator/Admin & Sales Coordinator,"","Leoch Battery (Thailand) Co., Ltd.",Bangrak,Diploma of High Vocational Education,2 years,Full Time,Wholesale / Retail,"Sales, CS & Business Devpt > Account Servicing",16500
BUSINESS DEVELOPMENT / EXPORT MANAGER (CLMV,Not Specified,"Search & Consultancy Network Co., Ltd.",Beungkum,Not Specified,Not Specified,Full Time,Health & Beauty Care,"Sales, CS & Business Devpt > Business Development , Marketing / Public Relations > Others , Sales, CS & Business Devpt > Channel / Distribution",80000
Personal Assistant,Middle,"GEMS PAVILION CREATION CO., LTD.",Bangrak,Degree,5 years,Full Time,Jewellery / Gems / Watches,"Banking / Finance > Analysis , Sales, CS & Business Devpt > Business Development , Manufacturing > Gems & Jewelry",57500
Lead / Senior Structural Engineer,"","Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,10 years,"Full Time, Permanent","Engineering - Building, Civil, Construction / Quantity Survey","Building & Construction > Civil / Structural , Engineering > Engineering Project Management , Engineering > Industrial",72500
Merchandiser ภาษาญี่ปุ่น (Japanese Merchandiser)/ เจ้าหน้าที่ประสานงานขายและจัดการสินค้า สำหรับ ลูกค้าญี่ปุ่น,"","Rocky Garment Co.,Ltd./ร็อคกี้ การ์เมนท์",Klongsan,Degree,1 year,Full Time,Clothing / Garment / Textile,"Merchandising & Purchasing > Merchandising - Others , Merchandising & Purchasing > Procurement / Purchasing / Sourcing , Sales, CS & Business Devpt > Sales Management",35000
ASP.NET,Entry Level,"Zenithsoft Co., Ltd.",Prakket,Degree,N/A,"Contract, Full Time, Permanent",Information Technology,"Information Technology (IT) > Application Specialist - Software , Information Technology (IT) > DBA , Information Technology (IT) > Programming / Software Development",25000
Sales Product Trainer/ผู้อบรมผลิตภัณฑ์และสนับสนุนฝ่ายขาย,"",EBSCO Information Service,Others,Degree,N/A,"Contract, Full Time",Education,"Sales, CS & Business Devpt > Business Development , Admin & HR > Training & Development , Information Technology (IT) > MIS",27500
I.T. SUPPORT OFFICER/I.T. SUPPORT OFFICER,"","ALS Laboratory Group (Thailand) Co., Ltd.",Suanluang,Degree,1 year,Full Time,Research / Survey,"Information Technology (IT) > Support , Information Technology (IT) > MIS , Information Technology (IT) > Network & System",37500
Business Development Consultant(5 days work/High Salary Package/ Emquartier),Entry Level,"Linktrix Manpower (Thailand) Co., Ltd.",Bangkok,Degree,1 year,Full Time,Human Resources Management / Consultancy,Admin & HR > Recruitment / Executive Search,40000
