title,level,organization,joblocation,education,experience,employmentType,industry,jobfunction,SalaryMid
Fashion Buyer (Chinese Speaking)/จัดซื้อต่างประเทศ (ภาษาจีน) /จัดซื้อต่างประเทศ( ภาษาจีน ),"","Unique Trading (Thailand) Co., Ltd./บริษัท ยูนิคเทรดดิ้ง (ไทยแลนด์) จำกัด",Pravet,Degree,N/A,"Full Time, Permanent",Trading and Distribution,Sales Management,23000
Media/ Marketing Staff,Entry Level,Satit Christian Wittaya,Nonthaburi > Muang,Degree,1 year,Full Time,Advertising,Graphics,25000
Digital Marketing,"","Step Solutions Co., Ltd.",Meenburi,Degree,N/A,"Full Time, Permanent",Mechanical,Marketing,30000
Travel Consultant (Account Executive) – German speaking,"","Indochina Services Asia Co., Ltd.",Dindaeng,Degree,1 year,"Full Time, Permanent",Others,Travel Agency,25000
TELEMARKETING MANAGER / SUPERVISOR/ผู้จัดการ/ซุปเปอร์ไวเซอร์ฝ่ายขายสินค้าและบริการทางโทรศัพท์,"",OmniRaise,Prakanong,(N/A),4 years,Full Time,Public Relations,Sales,37500
GM,Not Specified,Fircroft (Thailand) Limited,Bangkok,Not Specified,Not Specified,Full Time,Freight Forwarding,Transportation & Logistics,140000
Sales & Technical Service Engineer (Take care of North area zone),"","MMC Hardmetal (Thailand) Co., Ltd.",Lampoon,Degree,2 years,Full Time,Retail,Sales Engineer,25000
Programmer,"","Shining Gold Bullion Co., Ltd.",Sathorn,Degree,1 year,"Full Time, Permanent",Watches,Programming,22500
SENIOR JAVA SYSTEM ANALYST,"",PRTR Recruitment & Outsourcing,Bangkok,(N/A),N/A,"Full Time, Permanent",Information Technology,DBA,62500
Assistance Manager,Middle,BASF - Asia Pacific,Klongtoey,Degree,3 years,Full Time,Chemical,Sales,72500
Corporate Finance Manager,"","Yan Wal Yun Corporation Group Co., Ltd.",Sathorn,Degree,10 years,Permanent,Food and Beverage,Finance,67500
Accounting Officer / เจ้าหน้าที่บัญชี,"","Carro (Thailand) Co., Ltd.",Jatuchak,Diploma of High Vocational Education,1 year,"Full Time, Permanent",Information Technology,General Accounting,14500
Sales Manager / Sales Officer / Sales Coordinator / ฝ่ายขาย,"","Star RFID Co., Ltd./สตาร์ อาร์เอฟไอดี",Sathorn,Degree,1 year,Full Time,Manufacturing,Sales,30000
Sales Engineer : 1 Person,Entry Level,"ACCRETECH (THAILAND) CO., LTD.",Bangkok Area - Samutprakarn,Degree,3 years,"Full Time, Permanent",Automation Equipment,Technical Sales,27500
Creative Event,"","Roylan Panlan  Co., Ltd.",Ladprao,Degree,2 years,Full Time,Marketing Services,Design,25500
Senior HR officer,"","Keyence (Thailand ) Co., Ltd.",Huaykwang,Degree,5 years,"Full Time, Permanent",Electrical Equipment,Recruitment,57500
Account Executive(AE)/พิจารณาต่อเมื่อแนบไฟล์ผลงานเข้ามาเท่านั้น,Not Specified,"BIG CREATIVE CO., LTD.",Chiang Mai,Degree,Not Specified,"Full Time, Part Time, Permanent",Marketing Services,Sales,20500
Service Technician / Engineer/ช่าง/วิศวกร บริการ,Entry Level,"NAMSILPTHAI CO., LTD.",Nonthaburi > Muang,Diploma of High Vocational Education,N/A,Permanent,Wholesale,Engineering,19000
Graphic Designer  (New Graduated are welcome),"","Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,2 years,"Full Time, Permanent",Media,Graphics,18000
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Advertising,CS & Business Devpt,27500
Fitness Instructor /Sport Scientist/ฟิตเนส/เทรนเนอร์,"",PETCHYINDEE/เพชรยินดี อะคาเดมี่,Bangkoknoi,Degree,N/A,"Internship, Permanent",General Business Services,Spa Therapist,16500
Sales Representative,"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Public Relations,Public Relations,27500
THAI MASSAGE THERAPIST,"",EARTH sàrl,Overseas,High School Certificate,5 years,Full Time,Health & Beauty Care,Beauty Care,72500
Senior Sales (HDD division)/ฝ่ายขายอาวุโส (แผนก HDD),"",JAC AYUTTHAYA,Ayutthaya,Degree,4 years,"Full Time, Permanent",Engineering - Electrical,Technical Sales,35000
Sport Leader @Decathlon Nawamin [Sukhapiban] [Retail],"",Decathlon (Thailand) Company Limited,Beungkum,Degree,N/A,"Full Time, Permanent",Wholesale,Sales,25500
Public Relations (media relation) and Marketing Executive,Entry Level,"Niramit Plus Co., Ltd.",Phayathai,Degree,1 year,"Full Time, Permanent",Public Relations,Marketing,20500
Legal Counsel– Corporate & Offshore Company Secretary,"",Banpu Public Company Limited,Rajthevee,Degree,2 years,"Full Time, Permanent",Energy,Legal & Compliance,35000
Sales Executive,"","Bookdose Co., Ltd./บริษัท บุ๊คโดส จำกัด (Bookdose Co., Ltd.)",Prakket,Degree,N/A,"Contract, Full Time",Information Technology,Others,37500
QA Engineer,"","NORTHERN CLOUD TECHNOLOGY CO., LTD.",Chiang Rai,Degree,1 year,Permanent,Information Technology,Information Technology (IT),18000
Programmer and Programmer Analyst ด่วน !!,Entry Level,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Programming,30000
PCT Technician (Support),"","NAPASORN SERVICE GROUP CO., LTD.",Huaykwang,Degree,> 20,Contract,Consultancy,Building & Construction,25500
Key Account Executive,"",Page Group Thailand,Bangkok,Diploma of High Vocational Education,2 years,"Full Time, Permanent",Electronics,Sales,72500
Sales Representative Health Products,Not Specified,GETC (THAILAND) LTD./บริษัท จีอีทีซี (ประเทศไทย) จำกัด,Kannayao,Not Specified,Not Specified,Full Time,General Business Services,Sales,27500
Admin,"",A PLUS PARTNER COMPANY LIMITED,Eastern,Diploma of High Vocational Education,N/A,Full Time,Manufacturing,Administration,16500
Business Development Executive (Salary up to $2,Middle,Ecomobi PTE,Bangkok,Not Specified,1 year,Full Time,Advertising,Sales,57500
Finance Manager (10+yrs in Finance & Treasury Management/ Exp with SAP FI is advantage),Senior,"Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,9 years,"Full Time, Permanent",Motor Vehicles,General Accounting,105000
Package Designer /ออกแบบบรรจุภัณฑ์,Entry Level,"VNIBEAUTY .co.,ltd",Pasicharoen,Degree,1 year,Full Time,Health & Beauty Care,Design,25500
Sales Executive,"","Worldwide Education Services Co., Ltd.",Bangkapi,Diploma of High Vocational Education,1 year,Full Time,Education,Sales,16500
Waiter/Waitress,Entry Level,"INVIBE Advisory Co., Ltd.",Pathumwan,(N/A),1 year,"Full Time, Permanent",Food and Beverage,F & B,14500
Sales Representative (Bangkok area) พนักงานขาย กรุงเทพ/เซลล์ พนักงานขาย กรุงเทพ,"","Big 3 Industry Co., Ltd.",Bangkok,Diploma of High Vocational Education,> 20,"Full Time, Permanent",Plastic,CS & Business Devpt,20500
Sales/เจ้าหน้าที่ขาย/เจ้าหน้าที่ขาย,"","VRP Food and Bakery Co., Ltd.",Kanchanaburi,(N/A),2 years,"Full Time, Permanent",Catering,Customer Service,23000
Accounts & Admin Executive,"","DB&B (Thailand) Co., Ltd.",Pathumwan,Degree,3 years,Full Time,Graphic Design,General Accounting,30000
HR Supervisor /หัวหน้างานบุคคล,Senior,"SUMIPOL CORPORATION CO., LTD.",Pravet,Degree,10 years,Permanent,Automation Equipment,Admin & HR,40000
Software Developer (.Net/VB),"","Manpower Professional and Executive Recruitment Co., Ltd,",Laksri,Not Specified,Not Specified,"Full Time, Permanent",Human Resources Management,Information Technology (IT),25000
SAP Application Support (SD/MM//WM/FI/CO),"","C.J. Express Group Co., Ltd.",Bangrak,Degree,1 year,Full Time,Wholesale,Information Technology (IT),45000
Safety & Security Specialist Senior/เจ้าหน้าที่ความปลอดภัยวิชาชีพ(จป.),Senior,"Vega Balls Manufacturing Co.,Ltd.",Samutprakarn > Muang,Degree,3 years,Full Time,Manufacturing,Safety,30000
Lead Estimator,"","Skillpower Services (Thailand) Co., Ltd.",Nongjok,Degree,3 years,Permanent,"Engineering - Building, Civil, Construction",Construction,50000
MOBILE APPLICATION DEVELOPER,"","AAPICO ITS Co., Ltd./บริษัท อาปิโก ไอทีเอส จำกัด",Pathumwan,Degree,3 years,Full Time,Information Technology,Information Technology (IT),62500
Sales Engineer,Entry Level,"Amps Electric Engineering Co., Ltd./บริษัท แอมป์ อิเล็คทริค เอ็นจิเนียริ่ง จำกัด",Central,Degree,2 years,"Full Time, Permanent",Electronics,Electronics,22500
Site Engineer Finishes (Architect)/Operation and Supervisor Level/วิศวกรสนาม / สถาปนิกสนาม (ระดับปฏิบัติการ และ หัวหน้างาน),"",Aechetype (Thailand),Bangrak,Degree,3 years,Permanent,"Engineering - Building, Civil, Construction",Building,40000
Head of Technology / Senior Lead Developer,Senior,ATJ Recruitment (Thailand) Ltd.,Bangkok,Degree,7 years,"Full Time, Permanent",Information Technology,IT Project Management,105000
Kitchen Staff / Kitchen Helper,"","SUNRISE (THAILAND) CO., LTD.",Chiang Mai,(N/A),2 years,Full Time,Food and Beverage,F & B,11500
ASSISTANT IT SOFTWARE DEVELOPMENT MANAGER,Middle,PRTR Recruitment & Outsourcing,Bangyai,Degree,3 years,"Full Time, Permanent",Retail,Software Development,95000
Internal Audit Manager/ผู้จัดการฝ่ายตรวจสอบภายใน,Not Specified,"Advance Clean Power Co., Ltd.",Bangrak,Not Specified,Not Specified,Full Time,Oil & Gas,Accounting,72500
Accounting Manager (Japanese Automotive Manufacturing),Senior,en world Thailand,Ayutthaya,Degree,10 years,"Full Time, Permanent",Motor Vehicles,Accounting,72500
Sales Executive (Phuket Brach)/เจ้าหน้าที่ฝ่ายขาย,Senior,"EMHUES CO., LTD.",Phuket,Degree,3 years,Full Time,Wholesale,Account Servicing,30000
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Marketing,27500
Logistics Officer,"","Osstem (Thailand) Co., Ltd.",Klongtoey,Diploma of High Vocational Education,1 year,Full Time,Medical,Transportation & Logistics,18000
Oversea Sales 1 Position,"","Bangkok Interfood Co., Ltd.",Klongsan,Degree,3 years,Permanent,Catering,CS & Business Devpt,32500
Personal Assistant/Digital Projects Assistant to Managing Director,"","Germing Frey, Hotels & Resorts PCC",Wattana,Degree,5 years,"Full Time, Part Time, Permanent",Hospitality,Marketing,30000
Order to Cash  (English Speaking),"",Solvay Asia Pacific Company Limited,Pathumwan,Degree,N/A,"Full Time, Permanent",Plastic,General Accounting,25000
Piping Engineer,"","Archetype Engineering Consultants Co., Ltd.",Bangrak,Diploma of High Vocational Education,5 years,Permanent,"Engineering - Building, Civil, Construction",Mechanical,40000
Sales Representative (Bangkok area) พนักงานขาย กรุงเทพ/เซลล์ พนักงานขาย กรุงเทพ,"","Big 3 Industry Co., Ltd.",Bangkok,Diploma of High Vocational Education,> 20,"Full Time, Permanent",Chemical,Sales,20500
Supply Chain Manager Job (Heavy Equipment),Senior,"Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Degree,8 years,Full Time,Industrial Machinery,Inventory,140000
Process Engineer ( Bulk Material ) 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,3 years,Full Time,Petrochemical,Engineering,45000
Secretary/ Administration (5+ yrs in Secretary/ Personal Assistant/ Excellent command in English),"","Smartcruit Consultant Co., Ltd.",Bangkok Area - Samutprakarn,Degree,2 years,"Full Time, Permanent",Plastic,Admin & HR,37500
Programmer and Programmer Analyst ด่วน !!,Entry Level,"Prospersof Consulting Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Information Technology,Software Development,30000
Purchasing Manager/ผู้จัดการฝ่ายจัดซื้อ,Senior,"Kasem Glass Co., Ltd.",Yannawa,Degree,3 years,"Full Time, Permanent",Architecture,Merchandising & Purchasing,40000
Marketing & Admin Office/เจ้าหน้าที่การตลาด ดูแลระบบสื่อ/เจ้าหน้าที่การตลาด ดูแลระบบสื่อ,"","VRP Food and Bakery Co., Ltd.",Kanchanaburi,(N/A),2 years,"Full Time, Permanent",Food and Beverage,Public Relations,19000
Adminitrator / แอดมินเพจ พนักงานขาย Facebook Line@,Entry Level,Tpartner/บริษัท ทีพาร์ทเนอร์ จำกัด,Ladprao,High School Certificate,18 years,"Full Time, Permanent",Retail,Account Servicing,18000
Lead Architect,"","Archetype Engineering Consultants Co., Ltd.",Bangrak,Degree,10 years,Permanent,Architecture,QS,62500
Business Development Manager/ผู้จัดการฝ่ายพัฒนาธุรกิจแฟรนไชส์,"",Singer Thailand Public Company Limited,Bangrak,Degree,5 years,Permanent,Electronics,Business Development,105000
Senior Recruitment Consultant,"",Criterion Asia Recruitment,Bangkok,Degree,3 years,"Full Time, Permanent",Human Resources Management,Recruitment,72500
Sales Executive (Beverage),Entry Level,"Diversey Hygiene (Thailand) Co., Ltd.",Huaykwang,Degree,2 years,"Full Time, Permanent",Paper,Sales,30000
Customer Service Officer (Amatanakorn IE),"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,3 years,"Full Time, Permanent",Paper,Export Import,32500
Automation Systems Engineer,Entry Level,"Autotech Control Co., Ltd.",Suanluang,Degree,N/A,Full Time,Mechanical,Engineering,35000
R&D Chemist Packaging or OEM Automotive ( 40,"",MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,2 years,Full Time,Paper,Lab,37500
Copywriter (BTS Phrom Phong),"",The Lorry Online Sdn Bhd,Wattana,Not Specified,Not Specified,"Full Time, Permanent",Freight Forwarding,Media & Advertising,20500
IT Sales Assistant Manager (3+yrs in selling System Integrated/IT Solution),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,Others,37500
Sales Executive (Exp. Selling any products / Welcome New Graduate),"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,N/A,"Full Time, Permanent",Chemical,Sales Engineer,22500
Sales and Marketing Executive/กลุ่มธุรกิจพัฒนาอสังหาริมทรัพย์,"",EASTERN SUGAR & CANE PUBLIC COMPANY LIMITED,Bangna,Degree,4 years,Permanent,Property Development,Management,35000
เจ้าหน้าที่ฝ่ายควบคุมการผลิต,"","DADA Pharmaceutical Co., Ltd.",Bangkhuntien,Degree,1 year,"Full Time, Permanent",Medical,Sciences,13000
Accounting Manager,"","MissConsult Co., Ltd.",Wattana,Degree,5 years,"Full Time, Permanent",Human Resources Management,Accounting,50000
Accounting Officer/เจ้าหน้าที่บัญชี,Entry Level,"Meiko Trans (Thailand) Co., Ltd.",Yannawa,Degree,N/A,"Full Time, Permanent",Shipping,Accounting,18000
HR Officer (2+ yrs exp in Recruitment function/ Good English),Entry Level,"Smartcruit Consultant Co., Ltd.",Rayong,Degree,2 years,"Full Time, Permanent",Trading and Distribution,Executive Search,30000
CNC Programmer,"","Skillpower Services (Thailand) Co., Ltd.",Chonburi,Degree,2 years,"Full Time, Permanent",Mechanical,Engineering,45000
Mechanical Engineer (45K – 70K,"",Adecco Eastern Seaboard Recruitment Ltd.,Chonburi,Not Specified,Not Specified,"Full Time, Permanent",Mechanical,Engineering,57500
Senior Programmer / Junior Programmer,"","Crossingsoft Co., Ltd.",Bangkok,Degree,1 year,"Full Time, Permanent",Information Technology,Software Development,50000
SALES/MARKETING EXECUTIVES/การขาย/การบริหารการตลาด,Middle,"Paul Poole (South East Asia) Co., Ltd./บริษัท พอล พูล (เซ้าท อีส เอเชีย) จำกัด",Pranakorn,Degree,1 year,Full Time,Marketing Services,Marketing,30000
Customer Service Executive (Japanese Speaking),Middle,Adecco Recruitment (Thailand) Limited,Pathumwan,Degree,1 year,"Full Time, Permanent",Hospitality,Sales,40000
Group Accountant,Middle,JAC International,Jatuchak,Degree,3 years,"Full Time, Permanent",Consultancy,Accounting,72500
GA Senior Supervisor,"",JAC AYUTTHAYA,Central,Degree,N/A,"Full Time, Permanent",Human Resources Management,Admin & HR,37500
Partner Account Manager (Native Thai Speaker) @ Kuala Lumpur/หัวหน้าบริหารงานขายช่องทางตัวแทนจำหน่าย (ทำงานที่ประเทศมาเลเซีย),Entry Level,SELLBYTEL Services Malaysia Sdn Bhd,Overseas,Degree,1 year,"Contract, Full Time, Permanent",Information Technology,CS & Business Devpt,25000
Business Developer / Marketing,Middle,"NOUVEAU SIAM TRAVEL CO., LTD./นูโว สยาม ทราเวล จำกัด",Bangkok Area - Nonthaburi,Degree,Not Specified,"Contract, Freelance, Full Time, Permanent, Temporary",Tourism,Sales,32500
Sales Representative (Trading),Entry Level,"Good Job Professional (Thailand) Co., Ltd./กู็ด จ๊อบ โปรเพสชัลแนล",Bangkok,Degree,1 year,Full Time,Human Resources Management,Technical Sales,27500
Oversea Purchasing Officer/พนักงานจัดซื้อต่างประเทศ,Entry Level,"Sand and Soil Industry Co., Ltd.",Bangna,Degree,N/A,"Full Time, Permanent",Plastic,Merchandising & Purchasing,20500
Full time Autodesk MAYA Instructor /อาจารย์สอนวิชา Autodesk MAYA ประจำโรงเรียนมัธยม,Entry Level,Siam Computer and Language Institute,Phayathai,Degree,Not Specified,"Contract, Full Time",Education,Professor,32500
Java Developer (40K,Middle,"Saitech Solution Co., Ltd.",Huaykwang,Degree,3 years,"Full Time, Permanent",Human Resources Management,Programming,57500
Finance Manager,Senior,"360 Quality Management Co., Ltd.",Bangkok,Degree,5 years,Full Time,Human Resources Management,Banking,105000
Sales Engineer/วิศวกรการขาย,"","San Ho (Thailand) Co., Ltd.",Bangbon,Diploma of High Vocational Education,N/A,Permanent,Industrial Machinery,Student,23000
Guest Service Agent/พนักงานต้อนรับส่วนหน้า,Entry Level,Koranaree Courtyard Boutique Hotel,Nakhon Ratchasima,Degree,N/A,"Full Time, Permanent",Hospitality,F & B,14500
Accounting Officer / Accountant /เจ้าหน้าบัญชี,"","ENVIRE OPERATION CO., LTD.",Dusit,Diploma of High Vocational Education,1 year,Full Time,Engineering - Others,Accounting,14500
Full,Entry Level,Kiwi Kai Ordinary Partnership,Sathorn,High School Certificate,2 years,Full Time,Catering,Others,13000
Sr. QA Manager/ผู้จัดการอาวุโส แผนกประกันคุณภาพ,"",JAC AYUTTHAYA,Central,Degree,13 years,"Full Time, Permanent",Manufacturing,Quality Assurance,105000
Software Tester/เจ้าหน้าที่ทดสอบระบบ,"","SKOOTAR BEYOND CO., LTD.",Wattana,Degree,2 years,"Full Time, Permanent",Freight Forwarding,Information Technology (IT),30000
Programmer,"","TPN FlexPak Co., Ltd./ทีพีเอ็น เฟล็กซ์แพค",Chachoengsao,Degree,N/A,"Full Time, Permanent",Packaging,Programming,25500
sale (Cloud computer),"","NetDesign Host Co., Ltd.",Dindaeng,Degree,3 years,Permanent,Information Technology,Others,42500
CRM Project Coordinator,Entry Level,"CHOCO CARD ENTERPRISE CO., LTD.",Bangkapi,Degree,1 year,Permanent,Public Relations,Others,22500
Quality Assurance Engineer (fresh graduate welcome),Entry Level,RSM Recruitment (Thailand) Limited,Chachoengsao,Degree,1 year,Full Time,Human Resources Management,Engineering,25000
Sales Assistant Manager (3+ yrs in selling Construction materials) Attractive Benefits,Middle,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Architecture,Sales Management,62500
Store Manager/ผู้จัดการร้านขายเครื่องเขียน,Middle,"Unique Double A Stationery Ltd., Part./ห้างหุ้นส่วนจำกัด ยูนิค ดับเบิ้ลเอ สเตชั่นเนอรี่",Dusit,Degree,Not Specified,"Full Time, Permanent",Wholesale,Account Servicing,22500
Sales Representative (Event and Booth Channel),Entry Level,"Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Public Relations,27500
HRD Manager (10+ yrs in Global Scales of Training & Development/ Master,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,12 years,"Full Time, Permanent",Engineering - Others,Employee Relations,105000
Sales Representative (Event and Booth Channel),"","Fusion Marketing Co., Ltd.",Phayathai,Degree,N/A,"Full Time, Permanent",Marketing Services,Marketing,27500
Administrative Assistant,"","Coffral-Ekthana Engineering Co., Ltd.",Huaykwang,Degree,N/A,"Full Time, Permanent",Building,Clerical Support,16500
BUSSINESS DEVELOPMENT EXECUTIVE,Middle,CHIN MEDIA COMPANY LIMITED,Bangkok,Degree,1 year,"Contract, Full Time",Marketing Services,Marketing,25500
Sales Executive (Horeca / Hotels Channel) Bangkok & South Thailand,Entry Level,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Degree,1 year,Full Time,Chemical,Business Development,37500
Sales & Operation (เจ้าหน้าที่ฝ่ายขายและประชาสัมพันธ์ทัวร์ต่างประเทศ),"","Avenue Inter Travel Group Co., Ltd.",Bangrak,Degree,N/A,"Full Time, Permanent",Travel Agency,Channel,20500
Product Manager,"","Amed International Group Co., Ltd.",Dindaeng,Degree,N/A,"Full Time, Permanent",Health & Beauty Care,Practitioner,52500
Senior Account Executive (30K,"","Cre-active Hub Co., Ltd./บริษัท ครี-แอคทีฟ ฮับ จำกัด",Wangthonglang,Degree,3 years,Permanent,Public Relations,CS & Business Devpt,37500
Accounts & Admin Executive (25,"",Viscofan Thailand,Sapan-suang,Degree,N/A,"Full Time, Permanent",Packaging,Accounting,30000
Chief Sales Officer (CSO),"","GIZTIX CO., LTD.",Bangplee,Not Specified,Not Specified,Permanent,Information Technology,Others,40000
Sales Assistant Manager (3+ yrs in selling Construction materials) Attractive Benefits,Middle,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,5 years,"Full Time, Permanent",Architecture,Sales,62500
PRODUCTION MANAGER / QA MANAGER,Not Specified,"Search & Consultancy Network Co., Ltd.",Saraburi,Not Specified,Not Specified,Full Time,Clothing,Manufacturing,105000
Customer Service Officer (Thai Speaking),"","Global B2B Consultancy, Inc.",Overseas,Degree,Not Specified,Full Time,Information Technology,Customer Service,32500
Graphic designer,"","Feel To Co., Ltd./บริษัท ฟิล ทู จำกัด",Bangrak,Degree,N/A,"Full Time, Permanent",Printing,Design,18000
Graphic Designer  (New Graduated are welcome),"","Gogoprint (Thailand) Co., Ltd.",Phayathai,Degree,2 years,"Full Time, Permanent",Publishing,Product,18000
Accounting and Administrative Executive  up to 50k,"",RSM Recruitment (Thailand) Limited,Bangkok,Degree,3 years,Full Time,Human Resources Management,Personal Assistant,37500
Service Engineer (Exp in Maintenance & Repair/ Degree in Mechanical) Attractive Benefits,Entry Level,"Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Industrial Machinery,Engineering,37500
Sales Executive (2 yrs Selling Exp in Plastic,"","Smartcruit Consultant Co., Ltd.",Bangkok,Degree,2 years,"Full Time, Permanent",Plastic,Technical Sales,32500
Senior Software Engineer,"",JAC International,Bangkok,Degree,3 years,"Full Time, Permanent",Information Technology,Programming,62500
Senior System Coordinator/ Senior Data Management,"",VF Sourcing (Thailand) Ltd.,Bangkok,Degree,1 year,Permanent,Garment,Support,27500
Safety Officer/เจ้าหน้าที่ความปลอดภัย (จป.),"","P.P. & P. BUSINESS & SERVICE CO., LTD.",Ayutthaya,Diploma of High Vocational Education,> 20,Permanent,Freight Forwarding,Environmental,20500
JAVA Programmer (Rayong) 60,Entry Level,"Puzzle Piece Solutions Recruitment Co.,Ltd.",Rayong,(N/A),3 years,Full Time,Information Technology,IT Project Management,67500
Warehouse Manager,Senior,"Perfect Companion Group Co., Ltd.",Bangkok Area - Samutprakarn,Degree,5 years,Full Time,Freight Forwarding,Warehousing,72500
Human Resource Manager /ผู้จัดการฝ่ายบุคคล,"","Jes Interior Co., Ltd.",Pravet,Degree,3 years,Full Time,Graphic Design,Admin & HR,30000
Event Sales and Marketing/ตัวแทนงานฝ่ายการขายและการตลาด (อีเว้นท์),"","Phenomenon Enterprise Co., Ltd.",Klongtoey,Degree,N/A,"Freelance, Full Time, Part Time",Marketing Services,CS & Business Devpt,25000
Sale Executive,Entry Level,"ASIA PACIFIC PAPER CO., LTD.",Bangkok,Diploma of High Vocational Education,N/A,"Full Time, Permanent",Wholesale,Others,25000
UX/UI Designer,"","SmoothGraph Connect Co., Ltd.",Bangkor-laem,Degree,1 year,"Contract, Full Time, Permanent",Information Technology,Web Design,25000
Marketing & Sales/Customer Care/การตลาดและฝ่ายขาย/บริการลูกค้า,"","",Klongtoey,Degree,N/A,Full Time,Marketing Services,CS & Business Devpt,22500
Marketing Online,"","SELECT SALES CENTER CO., LTD.",Central,Degree,Not Specified,Permanent,Property Development,Marketing Communication,18000
Business Developer  / Account Manager (Based in Chiang Mai),Entry Level,"Navigo Samui Co., Ltd.",Chiang Mai,Degree,N/A,Full Time,Travel Agency,Sales,27500
